Name,Country,City,Image
Angkor Wat,Cambodia,Siem Reap,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Ankor_Wat_temple.jpg/1200px-Ankor_Wat_temple.jpg
Great Barrier Reef,Australia,Cairns,https://cdn.britannica.com/64/155864-050-34FBD7A2/view-Great-Barrier-Reef-Australia-coast.jpg
Machu Picchu,Peru,Cusco,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Machu_Picchu%2C_Peru.jpg/1200px-Machu_Picchu%2C_Peru.jpg
Great Wall of China,China,Beijing,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/The_Great_Wall_of_China_at_Jinshanling-edit.jpg/1200px-The_Great_Wall_of_China_at_Jinshanling-edit.jpg
Taj Mahal,India,Agra,https://cdn.britannica.com/86/170586-050-AB7FEFAE/Taj-Mahal-Agra-India.jpg
Colosseum,Italy,Rome,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Colosseo_2020.jpg/1200px-Colosseo_2020.jpg
Alhambra,Spain,Granada,https://www.travelandleisure.com/thmb/3wf5cJtNM9ie_dAosvzk8u1ZqLQ=/1333x1000/smart/filters:no_upscale()/ALHAMBRA0117-73e53148f36748aca96a22a093af8a82.jpg
Aya Sofya (Hagia Sophia),Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Hagia_Sophia_Mars_2013.jpg/1200px-Hagia_Sophia_Mars_2013.jpg
Medina of Fez,Morroco,Fez,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/72/9b/97/caption.jpg?w=300&h=300&s=1
Petra,Jordan,Wadi Musa,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Treasury_petra_crop.jpeg/1200px-Treasury_petra_crop.jpeg
British Museum,England,London,https://media.tacdn.com/media/attractions-splice-spp-674x446/0b/27/5c/4e.jpg
Sagrada Familia,Spain,Barcelona,https://upload.wikimedia.org/wikipedia/commons/2/26/%CE%A3%CE%B1%CE%B3%CF%81%CE%AC%CE%B4%CE%B1_%CE%A6%CE%B1%CE%BC%CE%AF%CE%BB%CE%B9%CE%B1_2941.jpg
Museum of Old and New Art,Australia,Hobart,https://countryroadsmagazine.com/downloads/7944/download/museum-of-old-and-new-art.jpg?cb=f77291913723660904cc725964101493&w=1300
Dubrovnik,Croatia,Dubrovnik,https://lp-cms-production.imgix.net/2021-06/shutterstockRF_662032261.jpg
Bagan,Myanmar,Bagan,https://cdn.theatlantic.com/media/img/photo/2019/07/bagan/b01_127437272-1/original.jpg
The Pyramids of Giza,Egypt,Cairo,https://cdn.mos.cms.futurecdn.net/YMa7Wx2FyjQFUjEeqa72Rm-1200-80.jpg
Piazza San Marco,Italy,Venice,https://www.ourescapeclause.com/wp-content/uploads/2021/08/shutterstock_1372373447-scaled.jpg
Acropolis of Athens,Greece,Athens,https://cdn.britannica.com/54/150954-050-F8D14782/Night-view-Parthenon-Athens.jpg
Versailles,France,Versailles,https://en.chateauversailles.fr/sites/default/files/styles/reseaux_sociaux/public/visuels_principaux/dddddddddg.jpg?itok=xmouhQgO
Marrakesh,Morocco,Marrakesh,https://cdn.thecrazytourist.com/wp-content/uploads/2019/12/ccimage-shutterstock_1390770566.jpg
Hanoi's Old Quarter,Vietnam,Hanoi,https://media-cdn.tripadvisor.com/media/photo-s/0e/f1/71/d9/the-old-quarter-houses.jpg
Charles Bridge,Czech Republic,Prague,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Charles_Bridge_-_Prague%2C_Czech_Republic_-_panoramio.jpg/800px-Charles_Bridge_-_Prague%2C_Czech_Republic_-_panoramio.jpg
Louvre Museum,France,Paris,"https://media.architecturaldigest.com/photos/5900cc370638dd3b70018b33/3:4/w_1547,h_2063,c_limit/Secrets%20of%20Louvre%201.jpg"
Eiffel Tower,France,Paris,"https://www.tripsavvy.com/thmb/gk7NEmDJuF1Uwg_9BFbCNu5gsms=/2624x3936/filters:fill(auto,1)/TAM_3402-08aeec8bf338425791ce0825cb205e9a.jpg"
Havana,Cuba,Havana,https://cdn.theculturetrip.com/wp-content/uploads/2021/10/havana-650x366.jpg
Table Mountain,South Africa,Cape Town,https://cdn.britannica.com/41/75841-050-FAAE44F0/Table-Mountain-Cape-Town-Western-Bay-South.jpg
Old Town Square Prague,Czech Republic,Prague,https://www.barcelo.com/guia-turismo/wp-content/uploads/2020/04/plaza-ciudad-vieja-1.jpg
Hermitage Museum,Russia,St. Petersburg,https://media-exp1.licdn.com/dms/image/C561BAQEw7KL3JnRJ9Q/company-background_10000/0/1543513814252?e=2147483647&v=beta&t=eOY29-6UfaZeOmLJuWpszaBSJLhzS8DTc-MRCsOAblI
Bay of Kotor,Montenegro,Kotor,https://www.chasingthedonkey.com/wp-content/uploads/2019/01/Port-In-Kotor-Montenegro_shutterstock_1049738972.jpg
Jaisalmer Rajasthan,India,Jaisalmer,https://cdn.breathedreamgo.com/wp-content/uploads/2019/11/bada-bagh-3181803_1280-2.jpg
Hiroshima,Japan,Hiroshima,https://www.planetware.com/photos-large/JPN/japan-hiroshima-itsukushima.jpg
Pantheon,Italy,Rome,https://www.historyhit.com/app/uploads/fly-images/5158810/Pantheon-788x537.jpg?x95007
Tate Modern,England,London,https://media.tacdn.com/media/attractions-splice-spp-674x446/06/fa/3f/c4.jpg
Naqsh-E Jahan,Iran,Isfahan,https://www.irantravelingcenter.com/wp-content/uploads/2014/09/isfahan.iran-traveling-center.Imam-square.jpg
Notre Dame,France,Paris,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Notredame_Paris.JPG/800px-Notredame_Paris.JPG
Sydney Opera House,Australia,Sydney,https://cdn.britannica.com/96/100196-050-C92064E0/Sydney-Opera-House-Port-Jackson.jpg
Edinburgh Castle,Scotland,Edinburgh,https://a.cdn-hotels.com/gdcs/production20/d511/27bf26bb-e498-4caf-a5b7-cdb379680e4c.jpg
Anne Frank House,Netherlands,Amsterdam,"https://media.cntraveler.com/photos/62747cda2557371c9642605c/16:9/w_2560,c_limit/Anne%20Frank%20House%20Amsterdam_GettyImages-1040678782.jpg"
Berlin Wall,Germany,Berlin, http://cdn.cnn.com/cnnnext/dam/assets/131107164011-berlin-wall-location-wilshire-blvd-ii.jpg
Santa Maria Del Fiore (Duomo Di Firenze / Florence Cathedral),Italy,Florence,https://upload.wikimedia.org/wikipedia/commons/7/77/Florence_Duomo_from_Michelangelo_hill.jpg
Koh Tao,Thailand,Koh Tao,https://static.independent.co.uk/s3fs-public/thumbnails/image/2017/07/05/09/koh-tao.jpg?quality=75&width=982&height=726&auto=webp
Palenque,Mexico,Palenque,https://lp-cms-production.imgix.net/2019-06/f3caa44ca6f937a3c0fb579dde358392-palenque-ruins.jpg
Ilulissat Kangerlua,Greenland,Ilulissat,https://guidetogreenland.com/wp-content/uploads/2020/06/Visit-Greenland-Mads-Pihl-north-ilulissat-accommodation-view-from-hotel-arctic-1024x499.jpg
Pao De Acucar,Brazil,Rio de Janeiro,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsCPphg2-dZFTJna2Hy1qx06Hr5GONUUycJiTuX_x6hdTdZOZNkmq5MD8yHQVYuSoEb7g&usqp=CAU
Mezquita of Cordoba,Spain,Cordoba,https://www.mezquitadecordoba.org/images/info/pagina-historia-mezquita.jpg
Lalibela,Ethiopia,Lalibela,https://whc.unesco.org/uploads/thumbs/site_0018_0016-1200-630-20151104173458.jpg
Arashiyama,Japan,Kyoto,https://resources.matcha-jp.com/resize/720x2000/2019/05/16-77129.jpeg
Lake Bled,Slovenia,Bled,https://s27363.pcdn.co/wp-content/uploads/2020/05/Things-to-do-in-Lake-Bled-1200x900.jpg.optimal.jpg
Metropolitan Museum of Art,USA,New York City,http://www.metmuseum.org/-/media/images/visit/met-fifth-avenue/fifthave_teaser.jpg?sc_lang=en
Franz Josef Glacier,New Zealand,Franz Josef,https://www.newzealand.com/assets/Tourism-NZ/West-Coast/6db30df60c/img-1536280982-3035-15788-F384E624-9404-2963-6B0FCA6AEAB2CB13__aWxvdmVrZWxseQo_CropResizeWzUwMCwzNzUsODAsImpwZyJd.jpg
Valley of the Kings,Egypt,Luxor,https://lp-cms-production.imgix.net/2019-06/f6e18c09be072890091813ba173e0fae-valley-of-the-kings.jpg
Hoi An,Vietnam,Hoi An,https://a.cdn-hotels.com/gdcs/production6/d195/7c204b24-342a-428a-88f8-11a34052999a.jpg
St. Peter's Basilica,Vatican City,Vatican City,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Basilica_di_San_Pietro_in_Vaticano_September_2015-1a.jpg/800px-Basilica_di_San_Pietro_in_Vaticano_September_2015-1a.jpg
Dome of the Rock,Israel,Jerusalem,https://i0.wp.com/www.touristisrael.com/wp-content/uploads/2019/08/Temple-Mount-Copy.jpg?fit=1920%2C1080&ssl=1
Red Square,Russia,Moscow,https://lp-cms-production.imgix.net/features/2015/04/State-History-Museum-Red-Square-Moscow_cs.jpg?auto=compress&fit=crop&fm=auto&q=50&w=1200&h=800
Forbidden City,China,Beijing,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbZ0IEL2uaL1rLUFUFRjAgDMMo1JBo5VxJDVYGu9XLSo3kHGMxIjEDt2MIy2x-QCOiACw&usqp=CAU
Uffizi Gallery,Italy,Florence,https://media.tacdn.com/media/attractions-splice-spp-674x446/07/86/0f/67.jpg
Shwedagon Pagoda,Myanmar,Yangon,https://www.tripsavvy.com/thmb/WreZEs-qSvUkqshCk26E5WYvBv0=/3292x3292/smart/filters:no_upscale()/shwedagon-pagoda-yangon-5a0e73e44e4f7d0036a76931.jpg
Lake Wanaka,New Zealand,Wanaka,https://www.newzealand.com/assets/Campaigns/FY-20-Campaigns/FY20-Brand-Welcome/GMW-Still-Assets/Job1689_Tnz_Mh_2558_Final_HR__aWxvdmVrZWxseQo_FocalPointCropWzQyMCw5NjAsNTAsNTAsNzUsImpwZyIsNjUsMi41XQ.jpg
Abu Simbel,Egypt,Abu Simbel,https://cdn.britannica.com/49/189749-050-EDADDEC0/Great-Temple-of-Ramses-II-temples-larger.jpg
Le Cimeti�re de P�re Lachaise,France,Paris,https://en.parisinfo.com/var/otcp/sites/images/media/1.-photos/02.-sites-culturels-630-x-405/cimetiere-du-pere-lachaise-automne-630x405-c-thinkstock/37716-1-fre-FR/Cimetiere-du-Pere-Lachaise-automne-630x405-C-Thinkstock.jpg
Gamla Stan,Sweden,Stockholm,https://imageio.forbes.com/specials-images/imageserve/1154990774/0x0.jpg?format=jpg&width=1200
Golden Gate Bridge,USA,San Francisco,https://upload.wikimedia.org/wikipedia/commons/0/0c/GoldenGateBridge-001.jpg
Dashashwamedh Ghat,India,Varanasi,https://www.varanasiguru.com/wp-content/uploads/2021/03/Dashashwamedh-Ghat.jpg
Auschwitz Memorial / Muzeum Auschwitz,Poland,Oswiecim,https://cdn-imgix.headout.com/tour/19354/TOUR-IMAGE/185d5215-3983-49f2-a675-024b028a2e4f-10427-krakow-auschwitz---birkenau---full-day-guided-tour-from-krakow-01.jpg?auto=compress%2Cformat&h=573&q=75&fit=crop&ar=16%3A9&fm=webp
Potala Palace Lhasa,China,Lhasa,https://images.chinahighlights.com/allpicture/2017/10/6811a1af6d094722ad000b78_cut_800x500_70.jpg
Empire State Building,USA,New York City,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Empire_State_Building_%28aerial_view%29.jpg/800px-Empire_State_Building_%28aerial_view%29.jpg
Budapest,Hungary,Budapest,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/36/37/32/caption.jpg?w=700&h=500&s=1
Topkapi Palace,Turkey,Istanbul,https://smithsonianassociates.org/ticketing/images/web-core-2021-pr/1H0-591pr.jpg
Historic Centre (Old Town) of Tallinn,Estonia,Tallinn,https://www.timetravelturtle.com/wp-content/uploads/2015/11/Tallinn-2015-136_feat.jpg
Stari Most Bridge,Bosnia and Herzegovina,Mostar,https://ak.jogurucdn.com/media/image/p25/place-2016-12-8-5-7946cbaf74682a38f6b7fd1ab1f2e6f1.jpg
Ayuthaya,Thailand,Ayuthaya,"https://www.tripsavvy.com/thmb/5Hd67PZyTcVX7xR-vG08cNZHWs4=/3864x2577/filters:fill(auto,1)/wat-chaiwatthanaram-154952905-5ab948870e23d90037649033.jpg"
Vatican Museum,Vatican City,Vatican City,"https://media.cntraveler.com/photos/5edeb3dad0ee55c69ea95b58/5:4/w_2500,h_2000,c_limit/VaticanMuseumInterior-BJPA09.jpg"
The Peak,Hong Kong,Hong Kong,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/c9/50/88/photo3jpg.jpg?w=1200&h=1200&s=1
St. Paul's Cathedral,England,London,https://keyassets.timeincuk.net/inspirewp/live/wp-content/uploads/sites/8/2021/06/ig2CLI311.cover_.B6E7HC.jpg
Meteora,Greece,Kalambaka,https://cdn.theatlantic.com/media/img/photo/2018/04/travel-monday-a-photo-trip-to-meteo/m01_194088302-1/original.jpg
Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,China,Qufu,https://whc.unesco.org/uploads/thumbs/site_0704_0007-1200-630-20131203162349.jpg
Monte Fitz Roy El Chalten,Argentina and Chile,El Chalten,https://cdn2.civitatis.com/argentina/el-chalten/trekking-2-dias-monte-fitz-roy-grid.jpg
Aiguille Du Midi,France,Chamonix-Mont-Blanc,https://www.montblancnaturalresort.com/media/image/cmbb2c/cms/media/ETE-MBNR/TAM/presentation_TAM-Ete.jpg
Bryggen,Norway,Bergen,https://en.visitbergen.com/imageresizer/?image=%2Fdmsimgs%2F5111850DF13B3FC77E670BDC99955801749AC37D.jpg&action=ProductDetailExtraLargeNew
Stewart Island,New Zealand,Stewart Island,https://southlandnz.com/sites/default/files/articles/media/photos/Stewart%20Island%20%282%29.jpg
Bhaktapur Durbar Square,Nepal,Bhaktapur,https://media.tacdn.com/media/attractions-splice-spp-674x446/0b/27/89/2a.jpg
Andaz Amsterdam Prinsengracht,Netherlands,Amsterdam,https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2018/04/30/1131/Andaz-Amsterdam-Prinsengracht-P333-Lobby.jpg/Andaz-Amsterdam-Prinsengracht-P333-Lobby.16x9.jpg
Great Buddha,Thailand,Kamakura,https://resources.thomascook.in/images/holidays/sightSeeing/8026141_Great_Buddha_of_Thailand_960.jpg
Museum of Anthropology Vancouver BC,Canada,Vancouver,https://cdn.visit.ubc.ca/wp-content/uploads/2019/03/profile_museum_of_anthropology_moa-770x482_4x.jpg
Skara Brae,Scotland,Stromness,https://www.heraldscotland.com/resources/images/9760764.jpg?type=responsive-gallery-fullscreen
Ephesus,Greece,Sel�uk,https://www.history.com/.image/t_share/MTU3ODc5MDg3MjQxMzczMDAx/ephesus-ruins.jpg
Tulum,Mexico,Tulum,https://a.cdn-hotels.com/gdcs/production73/d1624/45ab7e53-4363-41f8-8783-78765ac502ee.jpg
Tsukiji Fish Market,Japan,Tokyo,https://www.japan-guide.com/g18/3021_05.jpg
Sintra,Portugal,Sintra,https://upload.wikimedia.org/wikipedia/commons/1/10/Sintra_-_Palacio_da_Pena_%2820332995770%29_%28cropped2%29.jpg
Carcassonne,France,Carcassonne,https://www.travelrealfrance.com/wp-content/uploads/2021/11/walking-guided-tour-carcassonne-castle-1024x683.jpg
Statue of Liberty,USA,New York City,https://www.history.com/.image/ar_4:3%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTY1MTc1MTk3ODI0MDAxNjA5/topic-statue-of-liberty-gettyimages-960610006-promo.jpg
Blue Mosque,Turkey,Istanbul,https://www.carwiz.rent/data/public/2019-07/blue_mosque_15db837b846c60.jpg
Gion District,Japan,Kyoto,https://i0.wp.com/www.agoda.com/wp-content/uploads/2020/02/Gion-Traditional-houses-in-Gion-district.jpg?ssl=1
Leshan Grand Buddha,China,Leshan,https://upload.wikimedia.org/wikipedia/commons/3/38/Leshan_Buddha_Statue_View.JPG
Bairro of Ribeira,Portugal,Porto,https://www.salvadordabahia.com/wp-content/uploads/2017/12/cultural-ribeira-07-12-28-942x640.jpg
Koya-San,Japan,Koya,https://upload.wikimedia.org/wikipedia/commons/1/17/Danjogaran_Koyasan12n3200.jpg
Walt Disney World,USA,Orlando,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/433/433/75/vision-dam/digital/parks-platform/parks-global-assets/disney-world/0526ZP_1270MS_xak_R2-1x1.jpg?2022-03-10T19:16:43+00:00
Shibuya Crossing,Japan,Tokyo,https://a3.cdn.japantravel.com/photo/3016-194379/1440x960!/tokyo-shibuya-crossing-194379.jpg
Valle De Vinales,Cuba,Vi�ales,https://upload.wikimedia.org/wikipedia/commons/c/ca/Vi%C3%B1ales_Valley.jpg
Schloss Neuschwanstein,Germany,Schwangau,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Schloss_Neuschwanstein_2013.jpg/1200px-Schloss_Neuschwanstein_2013.jpg
Terracotta Warriors,China,Xi'an,https://th-thumbnailer.cdn-si-edu.com/9OMhTzGuUrhksZLoUPi4rUic8qA=/fit-in/1600x0/https://tf-cmsv2-smithsonianmag-media.s3.amazonaws.com/filer/terra-cotta-soldiers-631.jpg
Icehotel Jukkasj�rvi,Sweden,Jukkasj�rvi,https://www.icehotel.com/sites/cb_icehotel/files/styles/image_column_large/public/icehotel-art-suite-haven.jpg?h=a5627bc9&itok=Am6uQ9HJ
Roman Baths (Bath),England,Bath,https://www.romanbaths.co.uk/sites/roman_baths/files/dsc8009-hdr.jpg
Kota Kinabalu,Malaysia,Kota Kinabalu,https://cdn.theculturetrip.com/wp-content/uploads/2017/11/beautiful-kapas-island-off-the-coast-of-kota-kinabalu-sabah.jpg
Edinburgh Royal Mile,Scotland,Edinburgh,https://upload.wikimedia.org/wikipedia/commons/8/8d/High_Street%2C_Edinburgh.JPG
Cristo Redentor,Brazil,Rio de Janeiro,https://media.tacdn.com/media/attractions-splice-spp-674x446/0f/28/04/4f.jpg
National Mall,USA,Washington D.C.,https://upload.travelawaits.com/ta/uploads/2021/07/Washington-Monument-and-Reflecting-Pool-Sharon-Odegaard-Sharon-Odegaard-800x800.jpg
Prague Castle,Czech Republic,Prague,"https://www.tripsavvy.com/thmb/0g_ZQkg0_VyM5HtQQLff4kp8v28=/2700x1800/filters:fill(auto,1)/DSCF3648-f18cc25d2d5143988d2b0ac8f9d84714.jpg"
Accra,Ghana,Accra,https://www.adjaye.com/wp-content/uploads/2020/07/03_Marine-Drive_72.jpg
La Grand-Place Brussels,Belgium,Brussels,https://whc.unesco.org/uploads/thumbs/site_0857_0001-750-750-20151104155528.jpg
Kinkaku-Ji,Japan,Kyoto,https://www.japan-guide.com/g18/3908_top.jpg
Egyptian Museum,Egypt,Cairo,https://upload.wikimedia.org/wikipedia/commons/7/71/The_Egyptian_Museum.jpg
Amber Fort,India,Jaipur,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/20191219_Fort_Amber%2C_Amer%2C_Jaipur_0955_9481.jpg/800px-20191219_Fort_Amber%2C_Amer%2C_Jaipur_0955_9481.jpg
Xochimilco,Mexico,Mexico City,https://www.fodors.com/wp-content/uploads/2022/06/Hero-Xolximico-roberto-carlos-roman-don-_N6BAsuUqBc-unsplash.jpg
Glencoe,Scotland,Glencoe,https://kittiaroundtheworld.com/wp-content/uploads/2021/09/Glencoe.jpg
Karnak Temple Luxor,Egypt,Luxor,https://media.tacdn.com/media/attractions-splice-spp-674x446/06/6f/3b/ee.jpg
Gardens by the Bay,Singapore,Singapore,https://afar-production.imgix.net/uploads/images/post_images/images/FH4WdZpSCC/original_7d0d74d7c60b72c7e76799a30334803e.jpg?1521203247?ixlib=rails-0.3.0&auto=format%2Ccompress&crop=entropy&fit=crop&h=719&q=80&w=954
York Minster,England,York,https://upload.wikimedia.org/wikipedia/commons/6/6f/York_Minster_from_M%26S.JPG
Van Gogh Museum,Netherlands,Amsterdam,https://upload.wikimedia.org/wikipedia/commons/6/6f/York_Minster_from_M%26S.JPG
Madurai Meenakshi Amman Temple,India,Madurai,https://assets.traveltriangle.com/blog/wp-content/uploads/2018/05/essential-info.jpg
Old Tbilisi,Georgia,Tbilisi,https://www.enterprise.ge/uploads/2020/01/tbilisi-large.jpg
Changdeokgung Palace Complex,South Korea,Seoul,https://thereshegoesagain.org/wp-content/uploads/2017/11/changdeokgung-palace-secret-garden-7-1440x1040.jpg
Boudhanath Stupa Kathmandu,Nepal,Kathmandu,https://img.atlasobscura.com/LUDDZVJIG09wMSZsWcxdGQek7Xd7P8cfMOeYolV0aow/rs:fill:580:580:1/g:ce/q:81/sm:1/scp:1/ar:1/aHR0cHM6Ly9hdGxh/cy1kZXYuczMuYW1h/em9uYXdzLmNvbS91/cGxvYWRzL3BsYWNl/X2ltYWdlcy81NzI4/MmM1ZTg1MzdlNmFl/NDNfODk3NDkzODU5/Ml8yOGJlMjJjMTI5/X2suanBn.jpg
Rynek Glowny Krakow,Poland,Krakow,https://upload.wikimedia.org/wikipedia/commons/1/18/Sukiennice_and_Main_Market_Square_Krakow_Poland.JPG
Vat Phou and Associated Ancient Settlements Within the Champasak Cultu,Laos,Champasak,https://www.southern-laos.com/wp-content/uploads/2018/09/l8r9714-1200x800.jpg
Goree Island,Senegal,Dakar,https://johnryle.com/wp-content/uploads/2016/09/Goree-island.jpg
Mont St Michel,France,Mont Saint-Michel,https://en.normandie-tourisme.fr/wp-content/uploads/sites/3/2020/01/8118-Mont-Saint-Michel-couleur-dautomne-%C2%A9-DaLiu-Shutterstock.com-%C2%A9-DaLiu-Shutterstock.com_.jpg
Island of Mozambique,Mozambique,Mozambique Island,https://cdn.britannica.com/13/177913-050-0802B78D/dhow-sailing-coast-Island-of-Mozambique.jpg?w=300&h=169&c=crop
San Gimignano,Italy,San Gimignano,https://lp-cms-production.imgix.net/2019-06/556632955_master.jpg
Vasamuseet / the Vasa Museum,Sweden,Stockholm,https://www.swedishnomad.com/wp-content/images/2019/11/Vasamuseet.jpg
Times Square,USA,New York City,https://www.nycgo.com/images/venues/152/tripadvisortimessquare_taggeryanceyiv_5912__large.jpg
Bacuit Archipelago,the Philipines,El Nido,https://www.thegoldenscope.com/wp-content/uploads/2015/07/b-philippines_el_nido_900.jpg
Robben Island,South Africa,Cape Town,https://www.tripsavvy.com/thmb/b3LU9UFeAfAm326L4f3l9W5i2Hg=/1885x1414/smart/filters:no_upscale()/GettyImages-10174655-57f76dd93df78c690f27bfec.jpg
Wieliczka Salt Mine,Poland,Wieliczka,https://i.insider.com/5ed0e169f34d0562ea37fa62?width=700
Vigelandspark,Norway,Oslo,https://img.itinari.com/page/content/original/1a7393e5-a2a6-49a3-bb39-b24d3273d615-norway-954889_1280.jpg?ch=DPR&dpr=2.625&w=994&s=b1e4ef3004697579aa6379643f997813
Summer Palace and Imperial Garden,China,Beijing,https://amazingchinatrip.com/images/Beijing_summer-palace.jpg
Old Quebec/Vieux Qu�bec,Canada,Quebec City,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Ch%C3%A2teau_Frontenac%2C_Quebec_city%2C_Canada.jpg/1200px-Ch%C3%A2teau_Frontenac%2C_Quebec_city%2C_Canada.jpg
Canterbury Cathedral,England,Canterbury,https://www.worldatlas.com/r/w1200/upload/05/3a/39/untitled-design-470.jpg
Carthage,Tunisia,Tunis,https://www.planetware.com/photos-large/TUN/tunisia-tunis-carthage-ruins2.jpg
Reichstag Building,Germany,Berlin,https://cdn.britannica.com/45/101845-004-AB9DCB0D/Reichstag-Norman-Foster-renovations-Berlin.jpg
Group of Monuments at Hampi,India,Hampi,https://media-cdn.tripadvisor.com/media/photo-s/1a/62/10/c4/caption.jpg
Malecon De Riohacha,Colombia,Riohacha,https://media-cdn.tripadvisor.com/media/photo-s/09/dd/59/93/camellon-de-riohacha.jpg
Museo Del Prado,Spain,Madrid,https://cdn-imgix.headout.com/tour/14488/TOUR-IMAGE/302311a1-f1af-4ffb-a22a-0dd09c267896-7920-madrid-prado-a-royal-collection-03.jpg
Alcatraz,USA,San Francisco,https://www.gannett-cdn.com/-mm-/1abbac059a7e6f21ff3aa7e38760a41a48819119/c=0-217-2118-1414/local/-/media/2018/08/17/USATODAY/USATODAY/636701422865855661-GettyImages-632216604.jpg
Piazza Del Campo,Italy,Siena,https://upload.wikimedia.org/wikipedia/commons/0/0a/Siena5.jpg
Postojna Cave,Slovenia,Postojna,https://www.nestcampers.com/sites/default/files/styles/blog_top/public/blog/postojna%20cave.jpg?itok=OodICJ3L
Rila Monastery,Bulgaria,Rila,https://upload.wikimedia.org/wikipedia/commons/4/46/Rila_Monastery%2C_August_2013.jpg
The Bund,China,Shanghai,https://rachelgouk.com/wp-content/uploads/2020/02/shanghai-city-the-bund-restaurants.jpg
Rijksmuseum,Netherlands,Amsterdam,https://cdn.getyourguide.com/img/tour/5db0759f4ad16.jpeg/99.jpg
Alcazar Seville,Spain,Seville,https://media.tacdn.com/media/attractions-splice-spp-674x446/06/71/aa/c5.jpg
Singapore Zoo,Singapore,Singapore,"https://res.klook.com/images/fl_lossy.progressive,q_65/c_fill,w_1295,h_864/w_80,x_15,y_15,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/b2vdzehcsk2t6n6mziv0/SingaporeZooTickets.jpg"
Temple of Luxor,Egypt,Luxor,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Luxor-Tempel_Pylon_08.jpg/1200px-Luxor-Tempel_Pylon_08.jpg
Natural History Museum D.C.,USA,Washington D.C.,https://naturalhistory.si.edu/sites/default/files/styles/hero/public/media/image/nmnh1807141026resizedcrop.jpg.webp?itok=cih_ep7S
Old Delhi,India,Delhi,https://img.theculturetrip.com/450x/smart/wp-content/uploads/2017/10/dsc_5268.jpg
Borobudur,Indonesia,Magelang,https://lp-cms-production.imgix.net/2019-06/f4024c571e5e09ce5e4049bc181500b1-borobudur-temple.jpg?sharp=10&vib=20&w=1200&auto=compress&fit=crop&fm=auto&h=800
Bosque Nuboso Monteverde,Costa Rica,Monteverde,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_65sd3nIPNTHkoklmyURzmXJ6pzvuH_xovhTSpvQPtjd0JPDZo7KE0qdtJ0bwYq5cnR0&usqp=CAU
Duomo Milan,Italy,Milan,https://duomo.shbcdn.com/blobs/variants/a/c/8/e/ac8e3797-d691-420b-9b49-0d851f3ca9c3_xl.jpg?_636840242257777638
Burj Khalifa,UAE,Dubai,https://s3.amazonaws.com/images.skyscrapercenter.com/thumbs/5190_500x650.jpg
Djenne,Mali,Djenne,https://upload.wikimedia.org/wikipedia/commons/0/02/Moschee_von_Djenn%C3%A9.jpg
